origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
AMA|11|medium|57|33.19|27.79
AMA|11|unknown|8|0.0|0.0
AMA|12|high|42|158.93|157.55
AMA|12|low|513|-3.96|-9.58
AMA|12|medium|59|32.8|23.76
AMA|12|unknown|3|0.0|0.0
ANC|1|high|143|134.32|132.13
ANC|1|low|1141|-3.78|-9.03
ANC|1|medium|247|32.36|24.88
ANC|1|unknown|103|0.0|0.0
ANC|2|high|61|264.89|259.26
ANC|2|low|1373|-5.79|-8.34
ANC|2|medium|155|28.63|23.71
ANC|2|unknown|4|0.0|0.0
ANC|3|high|112|136.18|129.08
ANC|3|low|1608|-5.17|-9.27
ANC|3|medium|244|30.93|24.87
ANC|3|unknown|13|0.0|0.0
ANC|4|high|94|114.68|105.54
ANC|4|low|1626|-6.65|-11.92
ANC|4|medium|231|33.67|26.55
ANC|4|unknown|16|0.0|0.0
ANC|5|high|71|134.93|123.49
ANC|5|low|2198|-5.91|-11.75
ANC|5|medium|290|32.59|22.33
ANC|5|unknown|11|0.0|0.0
ANC|6|high|110|150.51|140.88
ANC|6|low|2684|-5.24|-7.49
ANC|6|medium|353|29.61|25.36
ANC|6|unknown|20|0.0|0.0
ANC|7|high|176|167.91|160.23
ANC|7|low|2674|-3.11|-6.14
ANC|7|medium|590|30.8|26.44
ANC|7|unknown|56|0.0|0.0
ANC|8|high|124|215.25|204.15
ANC|8|low|2673|-3.4|-8.6
ANC|8|medium|501|29.52|22.9
ANC|8|unknown|34|0.0|0.0
